id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
sun_dev_track_a_00001,"Aa aa salam kenal nya,ti abi 🙋 sumpah kot piseurieun 😂😂😂lucuu . Sing sukses nya aa aa😊👌",,,,,,,sundanese,sundanese
sun_dev_track_a_00002,"#Fauzi88Chanel hadir mang ti bogor kulon,Leuwiliang hebat deuh nu rek konser,tpi punten teu tiasa datang ka bandung,tebih euy ngadukung wae mang Dana",,,,,,,sundanese,sundanese
sun_dev_track_a_00003,Aslina ngakak kang. Teruskeun part salanjutna 🔥🔥🔥,,,,,,,sundanese,sundanese
sun_dev_track_a_00004,"Artis,artis naon nu resep lauk? Jawab:kucinta tuna.😎😎😂",,,,,,,sundanese,sundanese
sun_dev_track_a_00005,"Awas mang tong hilap nya ka Bogor. Mun hante urang di adu, getih Sunda yeh. hahaha salam goblog",,,,,,,sundanese,{sundanese}
sun_dev_track_a_00006,"Ceuk urang mah jelema goblog teh "" dahar bubur di sanguan""😂😂😂",,,,,,,NIL,english
sun_dev_track_a_00007,Kang tanyakeun ka ghina atos aya kabogoh acan? 😂,,,,,,,sundanese,sundanese
sun_dev_track_a_00008,Carita awalna kumaha jol jd youtuber teh mang?,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00009,2:37 Uyuhan teu ti Jungkeul oge eta si aa na 🤣,,,,,,,sundanese,sundanese
sun_dev_track_a_00010,"Alhamdulillah mang bisa d ajak maen film, lanjutkeun mang sing SUKSES 👍👍 tong hilap kana basa SUNDA na d lestarikeun",,,,,,,sundanese,sundanese
sun_dev_track_a_00011,"Awak joged, tp hate ambyar, bari jeung teu paham lirik :(",,,,,,,sundanese,sundanese
sun_dev_track_a_00012,A=jang naha mundur😓 B=percuma maju ge di tikung wae😟 A=sabar nya jang 😢 🚶🚶🚶Lagu; Urang mundur lalaunan urang sadar urang saha #salam_ti Cibadak Bandung,,,,,,,NIL,english
sun_dev_track_a_00013,"Anak betawi gak sabar nih, ngadangokeun",,,,,,,sundanese,{sundanese}
sun_dev_track_a_00014,Abi mah resep di kampung tapi nu sinyal na 5g aya teu nya ? 😅,,,,,,,NIL,english
sun_dev_track_a_00015,Adeuh meni genaheun pisan ti cimahi ngarojong,,,,,,,sundanese,sundanese
sun_dev_track_a_00016,Aya nu ngadengekeun di tahun 2020?😂,,,,,,,sundanese,sundanese
sun_dev_track_a_00017,0:52 pas pisan jg kaayaan urang ayna😞,,,,,,,sundanese,sundanese
sun_dev_track_a_00018,Bnrrr ieu mah banyak a NU kasar,,,,,,,NIL,english
sun_dev_track_a_00019,Anu Sunda nteu bisa bahasa Sunda saha?? 🖐️😂,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00020,Anjirrrr urang tinggaleun kitu ieu euy,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00021,"Alhamdulillah mang, wah terharu pisan ningalina ke ge bakal ngalaman nu kawas kitu. Mugia disehatkeun mang dilancarkeun rezekina 😁",,,,,,,sundanese,sundanese
sun_dev_track_a_00022,"Aduh ieuh kenangan terindah u di lakuken ker smp,",,,,,,,sundanese,sundanese
sun_dev_track_a_00023,Aya cai ker mandi Aya jamban di palih ditu Ai sedih ka abdi Ai jadianana jeng si itu,,,,,,,NIL,english
sun_dev_track_a_00024,"Aduhh si dede"" piraku jomblo mang taun taun kuat.puasa sa bulan teu kuat, ""🤣🤣 haturan mang fiksi di antos kaos urang sunda na.nu benten warna na hee",,,,,,,sundanese,{sundanese}
sun_dev_track_a_00025,Aduhh mni endah pisan ngadangukeun na,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00026,Aing pisan lagu ieu mah :(,,,,,,,NIL,oromo
sun_dev_track_a_00027,"Absen ah ti majalaya Kp. Curug dedes, bumi abi anu ka tilu asup gang lio🤣🤣🤣",,,,,,,sundanese,sundanese
sun_dev_track_a_00028,Eta di jalan anyar lain mang?,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00029,Aya poho sagala atuh mang haha,,,,,,,sundanese,sundanese
sun_dev_track_a_00030,4:20 Anjir asli ieu mang kendang na make galon?? Sora na meni ngeunah kitu euy,,,,,,,sundanese,sundanese
sun_dev_track_a_00031,A piksi baju nu alit aya te?,,,,,,,NIL,oromo
sun_dev_track_a_00032,"Ya maaf , ulah kuis atuh lieur ngitung na atuh da",,,,,,,NIL,"i'm afraid i have to tell you that the language classification task didn't quite go as planned...

the text ""ya maaf , ulah kuis atuh lieur ngitung na atuh da"" doesn't appear to be in any of the languages listed. 

however, if you'd like, we can try to classify it for you. the text seems to contain words and phrases that resemble indonesian or malay language.

so, my response would be:

indonesian"
sun_dev_track_a_00033,"Antara bungah jng sedih duh ,bangga jadi orang sunda . Hatur nuhun a fiksi anu ngagedekeun ngaran sunda",,,,,,,sundanese,{sundanese}
sun_dev_track_a_00034,"Asik, lagu favorit uranng iyeu euy ti kang ebith beat a. Mantep mang, minal aidin walfaidzin btw, mohon maaf lahir dan batin nya mangs, hampura bisi urang sok komen anu teu ngeunah di hate 🙏🙏🙏😊😊😊",,,,,,,sundanese,{sundanese}
sun_dev_track_a_00035,Aya hiji deui anu nami Didin nya eta Didin tajudin,,,,,,,NIL,oromo
sun_dev_track_a_00036,"1000 kaos urang sunda ori gratis 😁 , kumahaa tah mang fiksi ? Wantun ? 😁",,,,,,,sundanese,sundanese
sun_dev_track_a_00037,A ari lagu iye tos kaluar teu acan? Lagu mang dana namah atos ngan abi hoyong nu iye a😁,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00038,Cung nu meuli udud beakna ku Batur?😅,,,,,,,NIL,oromo
sun_dev_track_a_00039,"Ari wong jawa barat ah biasa aja sih aku mah,teu Aya anu di kangen keun? kecuali orang tua😂😂😂😂😂",,,,,,,sundanese,sundanese
sun_dev_track_a_00040,Aduh keren pisan ieu mah mang,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00041,"42: 00 pengalaman kini, 😁😁 aya nu Sami?",,,,,,,sundanese,"indonesian is not an option. based on my analysis of the text:

the possible languages that the text can be are:

afrikaans
amharic
german
english
oromo
portugese    
russian
somali
sundanese
tigrinya

my answer would be:
indonesian is not an option, but a language close to it, 
 however i have identified the language of the text as: 
 oromia 
 no, seriously though..."
sun_dev_track_a_00042,Aduhh inget ka urang uy. Sedih. Benghar henteu gelo heuuh,,,,,,,sundanese,{sundanese}
sun_dev_track_a_00043,"Bang nyaéta syuting ogé di Cianjur? ,",,,,,,,sundanese,sundanese
sun_dev_track_a_00044,"Aya aturan ku teu ka baca mang anton , mantap mang anton sareng 3 pemuda berbahaya , Sukses teruss👍👍",,,,,,,sundanese,sundanese
sun_dev_track_a_00045,"A-Mang,mang naha mundurr"", ??? B-percuma maju ge,urang ges teu kuat, A-pasti teu kuat inget ka mantan nya, B-Lain mang,itu WC pinuh teu kuat hayang ngising,",,,,,,,sundanese,{sundanese}
sun_dev_track_a_00046,"Asyik aya Delisa deui anu nyanyina, hatur nuhun 3 pemuda berbahaya, sukses teras kanggo sadayana, 3 pemuda berbahaya sareng team, sinareng Delisa Herlina",,,,,,,sundanese,sundanese
sun_dev_track_a_00047,"Bandung - Indonesia, Terlalu Manis - Slank, pami diwidian mah Kang, anu nyanyi mah biasa anu the best tea Delisa Herlina, hatur nuhun, sukses teras 3 pemuda berbahaya",,,,,,,sundanese,{sundanese}
sun_dev_track_a_00048,Aslina nyeri Beteng Mun ningali si Acil mah duh,,,,,,,NIL,oromo
sun_dev_track_a_00049,Asa ulah aya dibalik layarna mang. Kadi teu lucu,,,,,,,NIL,afrikaans
sun_dev_track_a_00050,"Ceuk urang mah jelema goblog teh nu ngaku jomblo pas geus nyaman eh kabogohna ngamuk, lah pan aeng teu apal bambank hahaha",,,,,,,sundanese,sundanese
